number,factor_name,entered_at,implementation_set,expression,paper_expression,required_symbols,uses_proxy,proxy_description
85,alpha101_085,2026-07-03T09:55:33+08:00,exact,"(rank_cs(ts_corr((h * 0.876703) + (c * (1 - 0.876703)), adv(amt, 30), 9.61331)) ** rank_cs(ts_corr(ts_rank((h + l) / 2, 3.70596), ts_rank(vol, 10.1595), 7.11408)))","(rank(correlation(((high * 0.876703) + (close * (1 - 0.876703))), adv30, 9.61331))^rank(correlation(Ts_Rank(((high + low) / 2), 3.70596), Ts_Rank(volume, 10.1595), 7.11408)))","c,h,l,vol,amt",False,
86,alpha101_086_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"((ts_rank(ts_corr(c, ts_sum(adv(amt, 20), 14.7444), 6.00049), 20.4195) < rank_cs((o + c) - (vwap + o))) * -1)","((Ts_Rank(correlation(close, sum(adv20, 14.7444), 6.00049), 20.4195) < rank(((open + close) - (vwap + open)))) * -1)","c,o,amt,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
88,alpha101_088,2026-07-03T09:55:33+08:00,exact,"elementwise_min(rank_cs(decay_linear((rank_cs(o) + rank_cs(l)) - (rank_cs(h) + rank_cs(c)), 8.06882)), ts_rank(decay_linear(ts_corr(ts_rank(c, 8.44728), ts_rank(adv(amt, 60), 20.6966), 8.01266), 6.65053), 2.61957))","min(rank(decay_linear(((rank(open) + rank(low)) - (rank(high) + rank(close))), 8.06882)), Ts_Rank(decay_linear(correlation(Ts_Rank(close, 8.44728), Ts_Rank(adv60, 20.6966), 8.01266), 6.65053), 2.61957))","c,o,h,l,amt",False,
92,alpha101_092,2026-07-03T09:55:33+08:00,exact,"elementwise_min(ts_rank(decay_linear((((h + l) / 2) + c) < (l + o), 14.7221), 18.8683), ts_rank(decay_linear(ts_corr(rank_cs(l), rank_cs(adv(amt, 30)), 7.58555), 6.94024), 6.80584))","min(Ts_Rank(decay_linear(((((high + low) / 2) + close) < (low + open)), 14.7221), 18.8683), Ts_Rank(decay_linear(correlation(rank(low), rank(adv30), 7.58555), 6.94024), 6.80584))","c,o,h,l,amt",False,
94,alpha101_094_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"((rank_cs(vwap - ts_min(vwap, 11.5783)) ** ts_rank(ts_corr(ts_rank(vwap, 19.6462), ts_rank(adv(amt, 60), 4.02992), 18.0926), 2.70756)) * -1)","((rank((vwap - ts_min(vwap, 11.5783)))^Ts_Rank(correlation(Ts_Rank(vwap, 19.6462), Ts_Rank(adv60, 4.02992), 18.0926), 2.70756)) * -1)","amt,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
95,alpha101_095,2026-07-03T09:55:33+08:00,exact,"(rank_cs(o - ts_min(o, 12.4105)) < ts_rank((rank_cs(ts_corr(ts_sum((h + l) / 2, 19.1351), ts_sum(adv(amt, 40), 19.1351), 12.8742)) ** 5), 11.7584))","(rank((open - ts_min(open, 12.4105))) < Ts_Rank((rank(correlation(sum(((high + low) / 2), 19.1351), sum(adv40, 19.1351), 12.8742))^5), 11.7584))","o,h,l,amt",False,
96,alpha101_096_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"(elementwise_max(ts_rank(decay_linear(ts_corr(rank_cs(vwap), rank_cs(vol), 3.83878), 4.16783), 8.38151), ts_rank(decay_linear(ts_argmax(ts_corr(ts_rank(c, 7.45404), ts_rank(adv(amt, 60), 4.13242), 3.65459), 12.6556), 14.0365), 13.4143)) * -1)","(max(Ts_Rank(decay_linear(correlation(rank(vwap), rank(volume), 3.83878), 4.16783), 8.38151), Ts_Rank(decay_linear(Ts_ArgMax(correlation(Ts_Rank(close, 7.45404), Ts_Rank(adv60, 4.13242), 3.65459), 12.6556), 14.0365), 13.4143)) * -1)","c,vol,amt,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
98,alpha101_098_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"(rank_cs(decay_linear(ts_corr(vwap, ts_sum(adv(amt, 5), 26.4719), 4.58418), 7.18088)) - rank_cs(decay_linear(ts_rank(ts_argmin(ts_corr(rank_cs(o), rank_cs(adv(amt, 15)), 20.8187), 8.62571), 6.95668), 8.07206)))","(rank(decay_linear(correlation(vwap, sum(adv5, 26.4719), 4.58418), 7.18088)) - rank(decay_linear(Ts_Rank(Ts_ArgMin(correlation(rank(open), rank(adv15), 20.8187), 8.62571), 6.95668), 8.07206)))","o,amt,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
99,alpha101_099,2026-07-03T09:55:33+08:00,exact,"((rank_cs(ts_corr(ts_sum((h + l) / 2, 19.8975), ts_sum(adv(amt, 60), 19.8975), 8.8136)) < rank_cs(ts_corr(l, vol, 6.28259))) * -1)","((rank(correlation(sum(((high + low) / 2), 19.8975), sum(adv60, 19.8975), 8.8136)) < rank(correlation(low, volume, 6.28259))) * -1)","h,l,vol,amt",False,
101,alpha101_101,2026-07-03T09:55:33+08:00,exact,((c - o) / ((h - l) + 0.001)),((close - open) / ((high - low) + .001)),"c,o,h,l",False,
