number,factor_name,entered_at,implementation_set,expression,paper_expression,required_symbols,uses_proxy,proxy_description
22,alpha101_022,2026-07-03T09:55:33+08:00,exact,"(-1 * delta(ts_corr(h, vol, 5), 5) * rank_cs(ts_std(c, 20)))","(-1 * (delta(correlation(high, volume, 5), 5) * rank(stddev(close, 20))))","c,h,vol",False,
23,alpha101_023,2026-07-03T09:55:33+08:00,exact,"where((ts_sum(h, 20) / 20) < h, (-1 * delta(h, 2)), 0.0)","(((sum(high, 20) / 20) < high) ? (-1 * delta(high, 2)) : 0)",h,False,
24,alpha101_024,2026-07-03T09:55:33+08:00,exact,"where((delta(ts_sum(c, 100) / 100, 100) / delay(c, 100)) <= 0.05, (-1 * (c - ts_min(c, 100))), (-1 * delta(c, 3)))","((((delta((sum(close, 100) / 100), 100) / delay(close, 100)) < 0.05) || ((delta((sum(close, 100) / 100), 100) / delay(close, 100)) == 0.05)) ? (-1 * (close - ts_min(close, 100))) : (-1 * delta(close, 3)))",c,False,
25,alpha101_025_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"rank_cs((((-1 * pct(c, 1)) * adv(amt, 20)) * vwap) * (h - c))",rank(((((-1 * returns) * adv20) * vwap) * (high - close))),"c,h,amt,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
26,alpha101_026,2026-07-03T09:55:33+08:00,exact,"(-1 * ts_max(ts_corr(ts_rank(vol, 5), ts_rank(h, 5), 5), 3))","(-1 * ts_max(correlation(ts_rank(volume, 5), ts_rank(high, 5), 5), 3))","h,vol",False,
27,alpha101_027_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"where(0.5 < rank_cs(ts_sum(ts_corr(rank_cs(vol), rank_cs(vwap), 6), 2) / 2.0), -1.0, 1.0)","((0.5 < rank((sum(correlation(rank(volume), rank(vwap), 6), 2) / 2.0))) ? (-1 * 1) : 1)","vol,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
28,alpha101_028,2026-07-03T09:55:33+08:00,exact,"scale_cs(ts_corr(adv(amt, 20), l, 5) + ((h + l) / 2) - c)","scale(((correlation(adv20, low, 5) + ((high + low) / 2)) - close))","c,h,l,amt",False,
29,alpha101_029,2026-07-03T09:55:33+08:00,exact,"(ts_min(ts_product(rank_cs(rank_cs(scale_cs(log(ts_sum(ts_min(rank_cs(rank_cs((-1 * rank_cs(delta(c - 1, 5))))), 2), 1))))), 1), 5) + ts_rank(delay((-1 * pct(c, 1)), 6), 5))","(min(product(rank(rank(scale(log(sum(ts_min(rank(rank((-1 * rank(delta((close - 1), 5))))), 2), 1))))), 1), 5) + ts_rank(delay((-1 * returns), 6), 5))",c,False,
30,alpha101_030,2026-07-03T09:55:33+08:00,exact,"(((1.0 - rank_cs(sign(c - delay(c, 1)) + sign(delay(c, 1) - delay(c, 2)) + sign(delay(c, 2) - delay(c, 3)))) * ts_sum(vol, 5)) / ts_sum(vol, 20))","(((1.0 - rank(((sign((close - delay(close, 1))) + sign((delay(close, 1) - delay(close, 2)))) + sign((delay(close, 2) - delay(close, 3)))))) * sum(volume, 5)) / sum(volume, 20))","c,vol",False,
31,alpha101_031,2026-07-03T09:55:33+08:00,exact,"(rank_cs(rank_cs(rank_cs(decay_linear((-1 * rank_cs(rank_cs(delta(c, 10)))), 10)))) + rank_cs((-1 * delta(c, 3))) + sign(scale_cs(ts_corr(adv(amt, 20), l, 12))))","((rank(rank(rank(decay_linear((-1 * rank(rank(delta(close, 10)))), 10)))) + rank((-1 * delta(close, 3)))) + sign(scale(correlation(adv20, low, 12))))","c,l,amt",False,
32,alpha101_032_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"(scale_cs((ts_sum(c, 7) / 7) - c) + (20 * scale_cs(ts_corr(vwap, delay(c, 5), 230))))","(scale(((sum(close, 7) / 7) - close)) + (20 * scale(correlation(vwap, delay(close, 5), 230))))","c,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
33,alpha101_033,2026-07-03T09:55:33+08:00,exact,rank_cs((-1 * ((1 - (o / c)) ** 1))),rank((-1 * ((1 - (open / close))^1))),"c,o",False,
34,alpha101_034,2026-07-03T09:55:33+08:00,exact,"rank_cs((1 - rank_cs(ts_std(pct(c, 1), 2) / ts_std(pct(c, 1), 5))) + (1 - rank_cs(delta(c, 1))))","rank(((1 - rank((stddev(returns, 2) / stddev(returns, 5)))) + (1 - rank(delta(close, 1)))))",c,False,
35,alpha101_035,2026-07-03T09:55:33+08:00,exact,"(ts_rank(vol, 32) * (1 - ts_rank((c + h) - l, 16)) * (1 - ts_rank(pct(c, 1), 32)))","((Ts_Rank(volume, 32) * (1 - Ts_Rank(((close + high) - low), 16))) * (1 - Ts_Rank(returns, 32)))","c,h,l,vol",False,
36,alpha101_036_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"((2.21 * rank_cs(ts_corr(c - o, delay(vol, 1), 15))) + (0.7 * rank_cs(o - c)) + (0.73 * rank_cs(ts_rank(delay((-1 * pct(c, 1)), 6), 5))) + rank_cs(abs(ts_corr(vwap, adv(amt, 20), 6))) + (0.6 * rank_cs(((ts_sum(c, 200) / 200) - o) * (c - o))))","(((((2.21 * rank(correlation((close - open), delay(volume, 1), 15))) + (0.7 * rank((open - close)))) + (0.73 * rank(Ts_Rank(delay((-1 * returns), 6), 5)))) + rank(abs(correlation(vwap, adv20, 6)))) + (0.6 * rank((((sum(close, 200) / 200) - open) * (close - open)))))","c,o,vol,amt,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
37,alpha101_037,2026-07-03T09:55:33+08:00,exact,"(rank_cs(ts_corr(delay(o - c, 1), c, 200)) + rank_cs(o - c))","(rank(correlation(delay((open - close), 1), close, 200)) + rank((open - close)))","c,o",False,
38,alpha101_038,2026-07-03T09:55:33+08:00,exact,"((-1 * rank_cs(ts_rank(c, 10))) * rank_cs(c / o))","((-1 * rank(Ts_Rank(close, 10))) * rank((close / open)))","c,o",False,
39,alpha101_039,2026-07-03T09:55:33+08:00,exact,"((-1 * rank_cs(delta(c, 7) * (1 - rank_cs(decay_linear(vol / adv(amt, 20), 9))))) * (1 + rank_cs(ts_sum(pct(c, 1), 250))))","((-1 * rank((delta(close, 7) * (1 - rank(decay_linear((volume / adv20), 9)))))) * (1 + rank(sum(returns, 250))))","c,vol,amt",False,
40,alpha101_040,2026-07-03T09:55:33+08:00,exact,"((-1 * rank_cs(ts_std(h, 10))) * ts_corr(h, vol, 10))","((-1 * rank(stddev(high, 10))) * correlation(high, volume, 10))","h,vol",False,
41,alpha101_041_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,(((h * l) ** 0.5) - vwap),(((high * low)^0.5) - vwap),"h,l,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
42,alpha101_042_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,(rank_cs(vwap - c) / rank_cs(vwap + c)),(rank((vwap - close)) / rank((vwap + close))),"c,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
43,alpha101_043,2026-07-03T09:55:33+08:00,exact,"(ts_rank(vol / adv(amt, 20), 20) * ts_rank((-1 * delta(c, 7)), 8))","(ts_rank((volume / adv20), 20) * ts_rank((-1 * delta(close, 7)), 8))","c,vol,amt",False,
44,alpha101_044,2026-07-03T09:55:33+08:00,exact,"(-1 * ts_corr(h, rank_cs(vol), 5))","(-1 * correlation(high, rank(volume), 5))","h,vol",False,
45,alpha101_045,2026-07-03T09:55:33+08:00,exact,"(-1 * (rank_cs(ts_sum(delay(c, 5), 20) / 20) * ts_corr(c, vol, 2) * rank_cs(ts_corr(ts_sum(c, 5), ts_sum(c, 20), 2))))","(-1 * ((rank((sum(delay(close, 5), 20) / 20)) * correlation(close, volume, 2)) * rank(correlation(sum(close, 5), sum(close, 20), 2))))","c,vol",False,
46,alpha101_046,2026-07-03T09:55:33+08:00,exact,"where(0.25 < (((delay(c, 20) - delay(c, 10)) / 10) - ((delay(c, 10) - c) / 10)), -1.0, where((((delay(c, 20) - delay(c, 10)) / 10) - ((delay(c, 10) - c) / 10)) < 0, 1.0, (-1 * (c - delay(c, 1)))))","((0.25 < (((delay(close, 20) - delay(close, 10)) / 10) - ((delay(close, 10) - close) / 10))) ? (-1 * 1) : (((((delay(close, 20) - delay(close, 10)) / 10) - ((delay(close, 10) - close) / 10)) < 0) ? 1 : ((-1 * 1) * (close - delay(close, 1)))))",c,False,
47,alpha101_047_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"((((rank_cs(1 / c) * vol) / adv(amt, 20)) * ((h * rank_cs(h - c)) / (ts_sum(h, 5) / 5))) - rank_cs(vwap - delay(vwap, 5)))","((((rank((1 / close)) * volume) / adv20) * ((high * rank((high - close))) / (sum(high, 5) / 5))) - rank((vwap - delay(vwap, 5))))","c,h,vol,amt,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
49,alpha101_049,2026-07-03T09:55:33+08:00,exact,"where(((((delay(c, 20) - delay(c, 10)) / 10) - ((delay(c, 10) - c) / 10)) < (-1 * 0.1)), 1.0, (-1 * (c - delay(c, 1))))","(((((delay(close, 20) - delay(close, 10)) / 10) - ((delay(close, 10) - close) / 10)) < (-1 * 0.1)) ? 1 : ((-1 * 1) * (close - delay(close, 1))))",c,False,
50,alpha101_050_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"(-1 * ts_max(rank_cs(ts_corr(rank_cs(vol), rank_cs(vwap), 5)), 5))","(-1 * ts_max(rank(correlation(rank(volume), rank(vwap), 5)), 5))","vol,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
51,alpha101_051,2026-07-03T09:55:33+08:00,exact,"where(((((delay(c, 20) - delay(c, 10)) / 10) - ((delay(c, 10) - c) / 10)) < (-1 * 0.05)), 1.0, (-1 * (c - delay(c, 1))))","(((((delay(close, 20) - delay(close, 10)) / 10) - ((delay(close, 10) - close) / 10)) < (-1 * 0.05)) ? 1 : ((-1 * 1) * (close - delay(close, 1))))",c,False,
52,alpha101_052,2026-07-03T09:55:33+08:00,exact,"((((-1 * ts_min(l, 5)) + delay(ts_min(l, 5), 5)) * rank_cs((ts_sum(pct(c, 1), 240) - ts_sum(pct(c, 1), 20)) / 220)) * ts_rank(vol, 5))","((((-1 * ts_min(low, 5)) + delay(ts_min(low, 5), 5)) * rank(((sum(returns, 240) - sum(returns, 20)) / 220))) * ts_rank(volume, 5))","c,l,vol",False,
53,alpha101_053,2026-07-03T09:55:33+08:00,exact,"(-1 * delta(((c - l) - (h - c)) / (c - l), 9))","(-1 * delta((((close - low) - (high - close)) / (close - low)), 9))","c,h,l",False,
54,alpha101_054,2026-07-03T09:55:33+08:00,exact,((-1 * ((l - c) * (o ** 5))) / ((l - h) * (c ** 5))),((-1 * ((low - close) * (open^5))) / ((low - high) * (close^5))),"c,o,h,l",False,
55,alpha101_055,2026-07-03T09:55:33+08:00,exact,"(-1 * ts_corr(rank_cs((c - ts_min(l, 12)) / (ts_max(h, 12) - ts_min(l, 12))), rank_cs(vol), 6))","(-1 * correlation(rank(((close - ts_min(low, 12)) / (ts_max(high, 12) - ts_min(low, 12)))), rank(volume), 6))","c,h,l,vol",False,
56,alpha101_056_market_cap,2026-07-03T09:55:33+08:00,market_cap,"-1 * rank_cs(ts_sum(pct(c, 1), 10) / ts_sum(ts_sum(pct(c, 1), 2), 3)) * rank_cs(pct(c, 1) * cap)","(0 - (1 * (rank((sum(returns, 10) / sum(sum(returns, 2), 3))) * rank((returns * cap)))))","c,cap",False,
57,alpha101_057_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"(-1 * ((c - vwap) / decay_linear(rank_cs(ts_argmax(c, 30)), 2)))","(0 - (1 * ((close - vwap) / decay_linear(rank(ts_argmax(close, 30)), 2))))","c,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
60,alpha101_060,2026-07-03T09:55:33+08:00,exact,"(-1 * ((2 * scale_cs(rank_cs((((c - l) - (h - c)) / (h - l)) * vol))) - scale_cs(rank_cs(ts_argmax(c, 10)))))","(0 - (1 * ((2 * scale(rank(((((close - low) - (high - close)) / (high - low)) * volume)))) - scale(rank(ts_argmax(close, 10))))))","c,h,l,vol",False,
61,alpha101_061_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"(rank_cs(vwap - ts_min(vwap, 16.1219)) < rank_cs(ts_corr(vwap, adv(amt, 180), 17.9282)))","(rank((vwap - ts_min(vwap, 16.1219))) < rank(correlation(vwap, adv180, 17.9282)))","amt,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
62,alpha101_062_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"((rank_cs(ts_corr(vwap, ts_sum(adv(amt, 20), 22.4101), 9.91009)) < rank_cs((rank_cs(o) + rank_cs(o)) < (rank_cs((h + l) / 2) + rank_cs(h)))) * -1)","((rank(correlation(vwap, sum(adv20, 22.4101), 9.91009)) < rank(((rank(open) + rank(open)) < (rank(((high + low) / 2)) + rank(high))))) * -1)","o,h,l,amt,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
64,alpha101_064_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"((rank_cs(ts_corr(ts_sum((o * 0.178404) + (l * (1 - 0.178404)), 12.7054), ts_sum(adv(amt, 120), 12.7054), 16.6208)) < rank_cs(delta((((h + l) / 2) * 0.178404) + (vwap * (1 - 0.178404)), 3.69741))) * -1)","((rank(correlation(sum(((open * 0.178404) + (low * (1 - 0.178404))), 12.7054), sum(adv120, 12.7054), 16.6208)) < rank(delta(((((high + low) / 2) * 0.178404) + (vwap * (1 - 0.178404))), 3.69741))) * -1)","o,h,l,amt,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
65,alpha101_065_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"((rank_cs(ts_corr((o * 0.00817205) + (vwap * (1 - 0.00817205)), ts_sum(adv(amt, 60), 8.6911), 6.40374)) < rank_cs(o - ts_min(o, 13.635))) * -1)","((rank(correlation(((open * 0.00817205) + (vwap * (1 - 0.00817205))), sum(adv60, 8.6911), 6.40374)) < rank((open - ts_min(open, 13.635)))) * -1)","o,amt,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
66,alpha101_066_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"((rank_cs(decay_linear(delta(vwap, 3.51013), 7.23052)) + ts_rank(decay_linear((((l * 0.96633) + (l * (1 - 0.96633))) - vwap) / (o - ((h + l) / 2)), 11.4157), 6.72611)) * -1)","((rank(decay_linear(delta(vwap, 3.51013), 7.23052)) + Ts_Rank(decay_linear(((((low * 0.96633) + (low * (1 - 0.96633))) - vwap) / (open - ((high + low) / 2))), 11.4157), 6.72611)) * -1)","o,h,l,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
68,alpha101_068,2026-07-03T09:55:33+08:00,exact,"((ts_rank(ts_corr(rank_cs(h), rank_cs(adv(amt, 15)), 8.91644), 13.9333) < rank_cs(delta((c * 0.518371) + (l * (1 - 0.518371)), 1.06157))) * -1)","((Ts_Rank(correlation(rank(high), rank(adv15), 8.91644), 13.9333) < rank(delta(((close * 0.518371) + (low * (1 - 0.518371))), 1.06157))) * -1)","c,h,l,amt",False,
71,alpha101_071_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"elementwise_max(ts_rank(decay_linear(ts_corr(ts_rank(c, 3.43976), ts_rank(adv(amt, 180), 12.0647), 18.0175), 4.20501), 15.6948), ts_rank(decay_linear(rank_cs((l + o) - (vwap + vwap)) ** 2, 16.4662), 4.4388))","max(Ts_Rank(decay_linear(correlation(Ts_Rank(close, 3.43976), Ts_Rank(adv180, 12.0647), 18.0175), 4.20501), 15.6948), Ts_Rank(decay_linear((rank(((low + open) - (vwap + vwap)))^2), 16.4662), 4.4388))","c,o,l,amt,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
72,alpha101_072_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"(rank_cs(decay_linear(ts_corr((h + l) / 2, adv(amt, 40), 8.93345), 10.1519)) / rank_cs(decay_linear(ts_corr(ts_rank(vwap, 3.72469), ts_rank(vol, 18.5188), 6.86671), 2.95011)))","(rank(decay_linear(correlation(((high + low) / 2), adv40, 8.93345), 10.1519)) / rank(decay_linear(correlation(Ts_Rank(vwap, 3.72469), Ts_Rank(volume, 18.5188), 6.86671), 2.95011)))","h,l,vol,amt,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
73,alpha101_073_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"(elementwise_max(rank_cs(decay_linear(delta(vwap, 4.72775), 2.91864)), ts_rank(decay_linear((delta((o * 0.147155) + (l * (1 - 0.147155)), 2.03608) / ((o * 0.147155) + (l * (1 - 0.147155)))) * -1, 3.33829), 16.7411)) * -1)","(max(rank(decay_linear(delta(vwap, 4.72775), 2.91864)), Ts_Rank(decay_linear(((delta(((open * 0.147155) + (low * (1 - 0.147155))), 2.03608) / ((open * 0.147155) + (low * (1 - 0.147155)))) * -1), 3.33829), 16.7411)) * -1)","o,l,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
74,alpha101_074_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"((rank_cs(ts_corr(c, ts_sum(adv(amt, 30), 37.4843), 15.1365)) < rank_cs(ts_corr(rank_cs((h * 0.0261661) + (vwap * (1 - 0.0261661))), rank_cs(vol), 11.4791))) * -1)","((rank(correlation(close, sum(adv30, 37.4843), 15.1365)) < rank(correlation(rank(((high * 0.0261661) + (vwap * (1 - 0.0261661)))), rank(volume), 11.4791))) * -1)","c,h,vol,amt,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
75,alpha101_075_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"(rank_cs(ts_corr(vwap, vol, 4.24304)) < rank_cs(ts_corr(rank_cs(l), rank_cs(adv(amt, 50)), 12.4413)))","(rank(correlation(vwap, volume, 4.24304)) < rank(correlation(rank(low), rank(adv50), 12.4413)))","l,vol,amt,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
77,alpha101_077_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"elementwise_min(rank_cs(decay_linear(((((h + l) / 2) + h) - (vwap + h)), 20.0451)), rank_cs(decay_linear(ts_corr((h + l) / 2, adv(amt, 40), 3.1614), 5.64125)))","min(rank(decay_linear(((((high + low) / 2) + high) - (vwap + high)), 20.0451)), rank(decay_linear(correlation(((high + low) / 2), adv40, 3.1614), 5.64125)))","h,l,amt,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
78,alpha101_078_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"(rank_cs(ts_corr(ts_sum((l * 0.352233) + (vwap * (1 - 0.352233)), 19.7428), ts_sum(adv(amt, 40), 19.7428), 6.83313)) ** rank_cs(ts_corr(rank_cs(vwap), rank_cs(vol), 5.77492)))","(rank(correlation(sum(((low * 0.352233) + (vwap * (1 - 0.352233))), 19.7428), sum(adv40, 19.7428), 6.83313))^rank(correlation(rank(vwap), rank(volume), 5.77492)))","l,vol,amt,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
81,alpha101_081_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"((rank_cs(log(ts_product(rank_cs(rank_cs(ts_corr(vwap, ts_sum(adv(amt, 10), 49.6054), 8.47743)) ** 4), 14.9655))) < rank_cs(ts_corr(rank_cs(vwap), rank_cs(vol), 5.07914))) * -1)","((rank(Log(product(rank((rank(correlation(vwap, sum(adv10, 49.6054), 8.47743))^4)), 14.9655))) < rank(correlation(rank(vwap), rank(volume), 5.07914))) * -1)","vol,amt,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
83,alpha101_083_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"((rank_cs(delay((h - l) / (ts_sum(c, 5) / 5), 2)) * rank_cs(rank_cs(vol))) / (((h - l) / (ts_sum(c, 5) / 5)) / (vwap - c)))","((rank(delay(((high - low) / (sum(close, 5) / 5)), 2)) * rank(rank(volume))) / (((high - low) / (sum(close, 5) / 5)) / (vwap - close)))","c,h,l,vol,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
84,alpha101_084_vwap_proxy,2026-07-03T09:55:33+08:00,vwap_proxy,"signed_power(ts_rank(vwap - ts_max(vwap, 15.3217), 20.7127), delta(c, 4.96796))","SignedPower(Ts_Rank((vwap - ts_max(vwap, 15.3217)), 20.7127), delta(close, 4.96796))","c,vwap",True,vwap is vwap_proxy_df.pq = (high + low) / 2
